,NITROGEN PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF NCA (Kg per ha),POTASH PER HA OF NCA (Kg per ha),avg_rain,RICE YIELD (Kg per ha)
0,1.38,0.29,0.04,64.15,337.59
1,1.5,0.2,0.2,105.3,747.71
2,2.95,0.44,0.04,97.70833333,841.27
3,3.99,0.82,0.03,77.41666667,711.4
4,4.44,1.96,0.14,123.6916667,828.55
5,6.87,2.78,0.62,115.6083333,709.69
6,8.01,3.62,0.78,87.24166667,654.41
7,4.47,2.21,0.23,123.5833333,786.5
8,2.6,1.12,0.25,48.74166667,372.83
9,4.39,0.78,0.2,105.2,758.82
10,4.8,1.46,0.28,78.16666667,551.04
11,4.1,1.49,0.49,86.86666667,952.89
12,5.91,1.82,0.58,94.08333333,591.35
13,4.63,2.28,0.65,71.65833333,535.99
14,5.55,2.51,0.61,113.1083333,812.1
15,6.59,3.75,0.84,78.975,804.6
16,7.19,3.05,0.81,70.13333333,817.49
17,9.54,3.97,0.89,89.44166667,1134.51
18,11.7,5.54,1.03,91.85,891.81
19,13.09,6.86,1.29,82.90833333,1109.38
20,12.88,7.92,1.57,92.73333333,816.49
21,16.57,8.83,1.97,61.89166667,807.1
22,17.97,11.54,2.94,54.16666667,842.19
23,20.42,12.11,3.56,17.05833333,692.67
24,21.33,8.7,3.21,109.1416667,1181.43
25,19,13.96,5.08,63.74166667,1136.31
26,24.09,14.73,5.03,69.23333333,1129.8
27,21.95,12.1,2.49,73.85,1246.02
28,27.6,13.82,2.83,121.9083333,1331.73
29,27.55,13.8,2.83,112.55,1454.44
30,27.49,13.77,2.82,107.475,1290.2
31,34.67,15.2,4.51,132.225,1138.37
32,33.06,15.42,3.13,109.4583333,870.45
33,33.81,15.1,5.55,147.1666667,1251.04
34,32.11,16.39,5.71,64.61666667,643.6
35,47,22.43,8.35,83.15833333,1268.46
36,50.67,22.91,10.03,91.99166667,1268.46
37,61.4,29.54,11.89,73.86666667,1505.81
38,58,26.49,11.01,89.04166667,1369.98
39,50.7,32.75,17.03,75.4,876.42
40,70.82,40.05,17.58,57.975,788.37
41,75.27,43.93,19,95.80833333,1695.77
42,70.69,44.46,16.83,106.8583333,1756.23
43,91.08,49.05,15.76,91.00833333,1900.97
44,78.35,40.98,15.65,130.6666667,1581.86
45,90.1,52.97,15.84,114.975,1729.89
46,105.92,60.59,18.86,84.05833333,1076.95
47,0.38,0.16,0.01,100.8333333,642.86
48,0.3,0.04,0.01,123.1916667,770.53
50,0.34,0.12,0.04,128.1666667,766.72
51,0.54,0.13,0.03,138.325,723.78
52,0.56,0.18,0.03,108.3333333,822.71
53,0.83,0.24,0.03,108.6083333,645
54,1.05,0.32,0.08,107.3083333,808.66
55,0.15,0.13,0.03,77.75833333,670.73
56,0.32,0.09,0.02,152.45,890.03
57,0.38,0.11,0.03,124.1833333,644.26
58,0.75,0.31,0.06,148.2166667,909.17
59,0.65,0.28,0.05,147.3333333,820.15
60,0.49,0.25,0.06,106.6916667,621.51
61,0.48,0.24,0.07,138.0583333,754.33
62,0.56,0.26,0.09,118.1333333,743.65
63,0.68,0.26,0.07,123.275,705.7
64,1.29,0.68,0.16,128.2416667,758.36
65,1.68,0.52,0.21,84.875,741.66
66,1.72,0.84,0.21,115.8083333,1502.16
67,1.91,1.05,0.32,142.6416667,724.82
68,2.09,0.98,0.29,120.7166667,688.29
69,2.58,1.14,0.39,118.3333333,965.78
70,3.22,1.51,0.53,154.4,952.77
71,2.06,1.35,0.25,152.025,970.47
72,3.49,1.44,0.39,100.4,1072.13
73,3.81,1.99,0.68,96.95833333,912.56
74,3.83,1.49,0.28,95.04166667,997.36
75,4.25,1.98,0.5,144.9333333,990.33
76,4.24,1.97,0.5,122.7333333,951.7
77,4.26,1.98,0.5,98.45833333,1040.99
78,8.73,2.64,1.05,102.9666667,730.57
79,4.71,2.8,0.75,82.50833333,908.63
80,6.77,4.01,1.68,119.1416667,1075.95
